"id_code","district","longitude","latitude"
"hapa","Sabar Kantha",73.166582,23.658347
"hw","Haridwar",77.988885,29.877196
"hrr","Davanagere",75.931289,14.351495
"hsr","Hisar",75.804733,29.220505
"hsx","Hoshiarpur",75.844522,31.627487
"hpt","Bellary",76.530441,15.105061
"et","Hoshangabad",77.984541,22.591476
"jbp","Jabalpur",79.945081,23.174377
"jdb","Bastar",81.572731,19.436514
"jp","Jaipur",75.718272,26.983791
"jsm","Jaisalmer",70.900506,27.070409
"juc","Jalandhar",75.553639,31.213939
"jmp","Munger",86.526835,25.211248
"jat","Jammu",74.895575,32.735482
"jam","Jamnagar",69.924781,22.250579
"jsme","Deoghar",86.735189,24.326701
"jyg","Madhubani",86.211634,26.406363
"jaj","Jamui",86.28853,24.785413
"jhs","Jhansi",78.946309,25.51057
"jbn","Araria",87.346285,26.200976
"jttn","Jorhat",94.274038,26.795121
"klk","Panchkula",76.958471,30.709996
"kyq","Nadia",88.516581,23.47618
"can","Kannur",75.536284,11.992271
"kik","Karaikal",79.796457,10.913389
"krmr","Karimnagar",79.234803,18.546217
"krmi","Bharuch",72.922763,21.787273
"kawr","Uttar Kannand",74.623993,14.787844
"kir","Katihar",87.638656,25.545183
"kurj","Chhatarpur",79.657611,24.80226
"kgp","West Midnapore",87.262462,22.410381
"krdl","Dantewada",81.051669,18.654711
"kne","Kishanganj",87.92909,26.29541
"krpu","Koraput",82.70732,18.811104
"kota","Kota",76.125391,25.128689
"ktw","Pauri Garhwal",78.756585,29.898573
"clt","Kozhikode",75.831517,11.480769
"krnt","Kurnool",77.999969,15.528053
"lur","Latur",76.759404,18.373329
"ldh","Ludhiana",75.824248,30.810641
"mdu","Madurai",77.989569,9.909959
"mldt","Maldah",88.087724,25.135849
"mds","Mandsaur",75.404137,24.214902
"mq","Thiruvarur",79.534512,10.669489
"mj","Pali",73.521038,25.708805
"mtj","Mathura",77.620708,27.600836
"mau","Mau",83.502767,26.035434
"mtc","Meerut",77.783911,29.041697
"mrj","Sangli",74.775496,17.110749
"moga","Moga",75.158004,30.767168
"mrij","Madhepura",86.889486,25.826068
"mfp","Muzaffarpur",85.322245,26.152486
"nhln","Lower Subansiri",93.872269,27.671138
"nldm","Rupnagar",76.538551,30.962702
"ndt","Rajsamand",73.875441,25.197625
"ntv","Maharajganj",83.500687,27.188238
"nzb","Nizamabad",78.139412,18.52375
"plni","Dindigul",77.805022,10.379186
"prdp","Jagatsinghpur",86.330134,20.216309
"ptk","Gurdaspur",75.372956,32.02274
"pbr","Porbandar",69.802143,21.637814
"pdy","Puducherry",79.748452,11.909371
"puri","Puri",85.698545,19.865745
"prr","Puruliya",86.41262,23.274888
"rbl","Rae Bareli",81.222189,26.233519
"r","Raipur",82.166714,21.068758
"rgd","Nalanda",85.448226,25.221415
"rjt","Rajkot",70.792219,22.255
"rmm","Ramanathapuram",78.680539,9.442849
"rmr","Bangalore Rural",77.422389,12.887321
"rph","Rampur",79.09398,28.801611
"rtm","Ratlam",75.090142,23.504034
"rn","Ratnagiri",73.460638,17.272426
"rgda","Rayagada",83.506312,19.355113
"rewa","Rewa",81.581547,24.75822
"rok","Rohtak",76.511232,28.9143
"rou","Sundargarh",84.504261,22.076708
"sdlp","Churu",74.56167,28.292739
"sre","Saharanpur",77.535297,29.954804
"shc","Saharsa",86.582629,25.81701
"sbg","Sahibganj",87.674195,25.007217
"snsi","Ahmednagar",74.645531,19.233309
"sbp","Sambalpur",84.274397,21.447651
"swv","Sindhudurg",73.742885,16.132108
"sdl","Shahdol",81.432997,23.463405
"srr","Palakkad",76.548356,10.787296
"sgnr","Ganganagar",73.598384,29.407735
"sml","Shimla",77.617843,31.201501
"smi","Sitamarhi",85.5571,26.596393
"spc","Sitapur",80.847039,27.523171
"che","Srikakulam",83.979429,18.571072
"sina","Srinagar",75.102191,34.24541
"sln","Sultanpur",82.010752,26.278963
"tpu","Champawat",80.061652,29.303024
"tata","Purba Singhbhum",86.447437,22.57877
"tj","Thanjavur",79.223655,10.655119
"tpj","Tiruchchirappalli",78.555009,10.876874
"uhp","Udhampur",75.188324,33.062114
"ujn","Ujjain",75.667453,23.335335
"brc","Vadodara",73.541416,22.226274
"bl","Valsad",73.118649,20.418334
"vkb","Rangareddi",78.172315,17.283775
"vm","Villupuram",79.284401,11.960291
"bdl","Mirzapur",82.610932,24.988026
