"origin","destination","count"
"bgp","m_ran",1
"bgp","m_sur",1
"bgp","m_ban",1
"bgy","bbs",1
"m_bir","m_kol",1
"m_kac","m_gre",1
"m_kac","m_bar",1
"m_kac","m_gre",1
"m_kac","m_pun",1
"m_kac","m_kol",1
"bidr","m_gre",1
"bidr","m_ban",1
"bix","m_ind",1
"bix","kota",1
"m_bok","m_kol",1
"bjp","m_hyd",1
"bjp","m_gre",1
"bjp","m_sol",1
"bju","ers",1
"bju","g",1
"bju","gwl",1
"bju","m_luc",1
"bju","m_del",1
"m_bik","m_gre",1
"m_bik","m_bil",1
"m_bik","m_bil",1
"m_bik","m_coi",1
"m_bik","m_del",1
"m_bik","m_gre",1
"m_bik","m_kam",1
"m_bik","hw",1
"m_bik","m_kol",1
"m_bik","jp",1
"m_bik","jsm",1
"m_bik","m_thi",1
"m_bik","m_kol",1
"m_bik","m_che",1
"m_bik","m_nan",1
"m_bik","puri",1
"m_bik","m_hyd",1
"m_bik","m_ban",1
"m_bok","m_kol",1
"bl","m_ahm",1
"bl","m_kan",1
"bl","hw",1
"bl","m_jod",1
"bl","mfp",1
"bl","puri",1
"m_bol","bbs",1
"blgt","m_kol",1
"blgt","m_kol",1
"blgt","m_kol",1
"m_bar","m_del",1
"m_bar","m_kam",1
"m_bar","hw",1
"m_bar","klk",1
"m_bar","m_ban",1
"m_ban","bbs",1
"m_ban","m_kri",1
"m_ban","kyq",1
"bnw","m_kan",1
"m_bho","m_bil",1
"m_bho","m_bil",1
"m_bho","dmo",1
"m_bho","m_dur",1
"m_bho","et",1
"m_bho","gwl",1
"m_bho","m_kol",1
"m_bho","m_ind",1
"m_bho","jp",1
"m_bho","m_jod",1
"m_bho","m_luc",1
"m_bho","m_pra",1
"m_bho","rtm",1
"bpq","m_gre",1
"bpq","m_hyd",1
"brc","m_gre",1
"m_dha","m_pat",1
"m_dha","m_pat",1
"m_pun","m_pun",1
"brwd","m_bar",1
"m_var","m_ahm",1
"m_var","m_del",1
"m_var","m_bar",1
"m_var","cdg",1
"m_var","m_kan",1
"m_var","m_gre",1
"m_var","m_deh",1
"m_var","gd",1
"m_var","gwl",1
"m_var","jat",1
"m_var","m_jod",1
"m_var","kurj",1
"m_var","m_luc",1
"m_var","m_gre",1
"m_var","m_mys",1
"m_var","m_del",1
"m_var","m_kac",1
"m_var","rgd",1
"m_var","rmm",1
"m_var","m_ran",1
"m_var","sbp",1
"m_var","m_kol",1
"m_var","m_son",1
"m_var","m_sur",1
"bsc","m_all",1
"m_jal","m_jal",1
"m_jal","m_gre",1
"m_jal","m_nag",1
"m_jal","m_del",1
"m_jal","m_pun",1
"m_jal","m_sur",1
