"origin","destination","count"
"bnw","cnb",1
"bpl","bsp",1
"bpl","dmo",1
"bpl","durg",1
"bpl","et",1
"bpl","gwl",1
"bpl","hwh",1
"bpl","indb",1
"bpl","jp",1
"bpl","ju",1
"bpl","ljn",1
"bpl","pbh",1
"bpl","rtm",1
"bpq","cstm",1
"bpq","sc",1
"brc","bct",1
"brka","pnbe",1
"brka","rjpb",1
"brmt","pune",1
"brwd","be",1
"bsb","adi",1
"bsb","anvt",1
"bsb","be",1
"bsb","cdg",1
"bsb","cnb",1
"bsb","cstm",1
"bsb","ddn",1
"bsb","gd",1
"bsb","gwl",1
"bsb","jat",1
"bsb","ju",1
"bsb","kurj",1
"bsb","lko",1
"bsb","ltt",1
"bsb","mys",1
"bsb","ndls",1
"bsb","okha",1
"bsb","rgd",1
"bsb","rmm",1
"bsb","rnc",1
"bsb","sbp",1
"bsb","sdah",1
"bsb","sgrl",1
"bsb","udn",1
"bsc","ald",1
"bsl","csn",1
"bsl","dr",1
"bsl","ngp",1
"bsl","nzm",1
"bsl","pune",1
"bsl","st",1
"bsp","asr",1
"bsp","bgkt",1
"bsp","bkn",1
"bsp","bpl",1
"bsp","chrm",1
"bsp","ers",1
"bsp","hapa",1
"bsp","indb",1
"bsp","mas",1
"bsp","ndls",1
"bsp","ngp",1
"bsp","pnbe",1
"bsp","pune",1
"bsp","rewa",1
"bsp","tata",1
"bsp","ten",1
"bsp","tpty",1
"btc","jbp",1
"bti","dli",1
"bti","jat",1
"bti","lgh",1
"bti","ndls",1
"bui","sdah",1
"bvc","asn",1
"bvc","bdts",1
"bvc","cct",1
"bvc","dee",1
"bvc","kcvl",1
"bvc","okha",1
"bvc","st",1
"bza","bnc",1
"bza","mas",1
"bza","rgda",1
"bza","sc",1
"bza","snsi",1
"bza","ubl",1
"bza","vskp",1
"can","allp",1
"can","ers",1
"can","sbc",1
"can","tvc",1
"can","ypr",1
"cape","cstm",1
"cape","dbrg",1
"cape","hwh",1
"cape","jat",1
"cape","ms",1
"cape","nzm",1
"cape","pdy",1
"cape","rmm",1
"cape","sbc",1
"cbe","bkn",1
"cbe","jp",1
"cbe","ltt",1
"cbe","maq",1
"cbe","mas",1
"cbe","mq",1
"cbe","mv",1
"cbe","ncj",1
"cbe","nzm",1
"cbe","rjt",1
"cbe","rmm",1
"cbe","tn",1
"cbe","tpty",1
"cbe","ypr",1
"cct","bvc",1
"cct","sbc",1
"cct","sc",1
"cct","snsi",1
"cdg","aii",1
"cdg","ald",1
"cdg","asr",1
"cdg","bdts",1
"cdg","bsb",1
"cdg","dbrg",1
"cdg","indb",1
"cdg","jp",1
"cdg","kcvl",1
"cdg","ljn",1
"cdg","lko",1
"cdg","mao",1
"cdg","mdu",1
"cdg","ndls",1
"cdg","ppta",1
"cdg","rmr",1
"cdg","ypr",1
"chd","chrm",1
"che","hyb",1
"chrm","bsp",1
"chrm","chd",1
"chrm","durg",1
"chrm","rewa",1
"ckp","bbn",1
"ckp","hwh",1
"clt","tvc",1
"cmnr","tpty",1
"cnb","anvt",1
"cnb","asr",1
"cnb","bdts",1
"cnb","bl",1
"cnb","bnw",1
"cnb","bsb",1
"cnb","durg",1
"cnb","jat",1
"cnb","kgm",1
"cnb","ndls",1
"coa","hyb",1
"coa","ltt",1
"coa","ms",1
"coa","sc",1
"coa","tpty",1
"cpa","gkp",1
"cpr","durg",1
"cpr","fbd",1
"cpr","ljn",1
"cpr","ltt",1
"cpr","mas",1
"cpr","mtj",1
"cpr","muv",1
"cpr","st",1
