"id_code","station","district","longitude","latitude"
"gaya","gaya jn","Gaya",84.928332,24.698666
"gad","gevra road","Korba",82.603572,22.532362
"grd","giridih","Giridih",86.103939,24.296928
"gd","gonda jn","Gonda",82.012604,27.08767
"g","gondia jn","Gondiya",80.154762,21.120778
"gkp","gorakhpur jn","Gorakhpur",83.359792,26.626022
"gdr","gudur jn","Nellore",79.72307,14.429711
"gtl","guntakal jn","Anantapur",77.570753,14.475031
"gnt","guntur jn","Guntur",80.08137,16.291378
"guv","guruvayur","Thrissur",76.311812,10.465654
"ghy","guwahati","Kamrup",91.535039,26.1354
"gwl","gwalior","Gwalior",78.138731,26.045061
"nzm","h nizamuddin","Delhi",77.108965,28.646458
"ned","h sahib nanded","Nanded",77.620608,19.115135
"hbj","habibganj","Bhopal",77.391901,23.482127
"hlz","haldia","East Midnapore",87.774389,22.026769
"hdb","haldibari","Kochbihar",89.349321,26.292322
"hapa","hapa","Sabar Kantha",73.166582,23.658347
"hw","haridwar jn","Haridwar",77.988885,29.877196
"hrr","harihar","Davanagere",75.931289,14.351495
"hte","hatia","Ranchi",85.330163,23.211364
"hsr","hisar","Hisar",75.804733,29.220505
"hsx","hoshiarpur","Hoshiarpur",75.844522,31.627487
"hpt","hospet jn","Bellary",76.530441,15.105061
"hwh","howrah jn","Kolkata",88.352416,22.551416
"ubl","hubli jn","Dharwad",75.156216,15.386464
"hyb","hyderabad decan","Hyderabad",78.464526,17.38596
"indb","indore jn bg","Indore",75.781453,22.716291
"indm","indore jn mg","Indore",75.781453,22.716291
"ipr","islampur","Uttar Dinajpur",88.156948,25.874642
"et","itarsi jn","Hoshangabad",77.984541,22.591476
"itr","itwari","Nagpur",79.082119,21.176874
"izn","izzatnagar","Bareilly",79.411117,28.455432
"jbp","jabalpur","Jabalpur",79.945081,23.174377
"jdb","jagdalpur","Bastar",81.572731,19.436514
"jp","jaipur","Jaipur",75.718272,26.983791
"jsm","jaisalmer","Jaisalmer",70.900506,27.070409
"juc","jalandhar city","Jalandhar",75.553639,31.213939
"jmp","jamalpur jn","Munger",86.526835,25.211248
"jat","jammu tawi","Jammu",74.895575,32.735482
"jam","jamnagar","Jamnagar",69.924781,22.250579
"jsme","jasidih jn","Deoghar",86.735189,24.326701
"jyg","jaynagar","Madhubani",86.211634,26.406363
"jaj","jhajha","Jamui",86.28853,24.785413
"jhs","jhansi jn","Jhansi",78.946309,25.51057
"ju","jodhpur jn","Jodhpur",72.787863,26.749029
"jbn","jogbani","Araria",87.346285,26.200976
"jttn","jorhat town","Jorhat",94.274038,26.795121
"jnrd","junagarh road","Junagadh",70.794231,20.834384
"jnrd","junagarh road","Junagadh",70.56796,21.213548
"kcg","kacheguda","Hyderabad",78.464526,17.38596
"coa","kakinada port","East Godavari",81.997558,17.189858
"cct","kakinada town","East Godavari",81.997558,17.189858
"klk","kalka","Panchkula",76.958471,30.709996
"kyq","kamakhya","Nadia",88.516581,23.47618
"can","kannur","Kannur",75.536284,11.992271
"cpa","kanpur anwrganj","Kanpur",80.320721,26.380307
"cnb","kanpur central","Kanpur",80.320721,26.380307
"cape","kanyakumari","Kanniyakumari",77.34655,8.306209
"kik","karaikal","Karaikal",79.796457,10.913389
"kkdi","karaikkudi jn","Sivaganga",78.576072,9.907135
"krmr","karimnagar","Karimnagar",79.234803,18.546217
"krmi","karmali","Bharuch",72.922763,21.787273
"kawr","karwar","Uttar Kannand",74.623993,14.787844
"kgm","kathgodam","Naini Tal",79.455029,29.316853
"kir","katihar jn","Katihar",87.638656,25.545183
"kurj","khajuraho","Chhatarpur",79.657611,24.80226
"kgp","kharagpur jn","West Midnapore",87.262462,22.410381
"krdl","kirandul","Dantewada",81.051669,18.654711
"kne","kishanganj","Kishanganj",87.92909,26.29541
"kcvl","kochuveli","Thiruvananthapuram",77.004583,8.606253
"koaa","kolkata","Kolkata",88.352416,22.551416
"qln","kollam jn","Kollam",76.867776,8.954158
"krpu","koraput","Koraput",82.70732,18.811104
"krba","korba","Korba",82.603572,22.532362
"kota","kota jn","Kota",76.125391,25.128689
"ktw","kotdwara","Pauri Garhwal",78.756585,29.898573
"clt","kozhikode","Kozhikode",75.831517,11.480769
"kjm","krishnarajapurm","Bangalore Urban",77.586787,12.942303
"krnt","kurnool city","Kurnool",77.999969,15.528053
"kgn","kurseong","Darjiling",88.391978,26.914131
"lku","lal kuan","Naini Tal",79.455029,29.316853
"lgh","lalgarh jn","Bikaner",73.076434,28.191078
"lgl","lalgola","Murshidabad",88.227024,24.161402
"lur","latur","Latur",76.759404,18.373329
"ledo","ledo","Tinsukia",95.625516,27.584578
"ltt","lokmanyatilak t","Greater Bombay",72.923258,19.145464
"ljn","lucknow ne","Lucknow",80.896858,26.846907
"lko","lucknow nr","Lucknow",80.896858,26.846907
"ldh","ludhiana jn","Ludhiana",75.824248,30.810641
"lmg","lumding jn","Nagaon",92.841534,26.225442
"mtm","machilipatnam","Krishna",80.792672,16.550539
"mao","madgaon","South Goa",74.120347,15.195291
"mdu","madurai jn","Madurai",77.989569,9.909959
"mhv","mahuva jn","Bhavnagar",71.86295,21.68373
"mldt","malda town","Maldah",88.087724,25.135849
"mnm","manamadurai jn","Sivaganga",78.576072,9.907135
"mds","mandasor","Mandsaur",75.404137,24.214902
"muv","manduadih","Varanasi",82.909096,25.390548
"maq","mangalore cntl","Dakshin Kannad",75.266668,12.833136
"majn","mangalore jn","Dakshin Kannad",75.266668,12.833136
"mkp","manikpur jn","Pratapgarh",81.822447,25.876429
"mmr","manmad jn","Nashik",74.077989,20.260047
"mq","mannargudi","Thiruvarur",79.534512,10.669489
"mugr","manuguru","Khammam",80.679128,17.590101
"mj","marwar jn","Pali",73.521038,25.708805
"mtj","mathura jn","Mathura",77.620708,27.600836
"mau","mau jn","Mau",83.502767,26.035434
"mvj","mavli jn","Udaipur",73.755931,24.391901
"mv","mayiladuturai j","Nagapattinam",79.735989,10.86372
"mtc","meerut city","Meerut",77.783911,29.041697
"mtp","metupalaiyam","Coimbatore",77.07216,10.836707
"mtdm","metur dam","Salem",78.209116,11.662904
"mrj","miraj jn","Sangli",74.775496,17.110749
"moga","moga","Moga",75.158004,30.767168
"mka","mokameh jn","Patna",85.213932,25.457251
"bct","mumbai central","Greater Bombay",72.923258,19.145464
"cstm","mumbai cst","Greater Bombay",72.923258,19.145464
"mbf","munabao","Barmer",71.478981,25.730172
"mrij","murliganj","Madhepura",86.889486,25.826068
